"","WWF_biome","mean","stdev","raster_name","year"
"1","Temperate Grasslands, Savannas & Shrublands",0.812299609184265,0.0875402390956879,"global_n_retention_1992_compressed",1992
"2","Tropical & Subtropical Moist Broadleaf Forests",0.892794191837311,0.0673696920275688,"global_n_retention_1992_compressed",1992
"3","Temperate Conifer Forests",0.882016897201538,0.0719959661364555,"global_n_retention_1992_compressed",1992
"4","Tropical & Subtropical Coniferous Forests",0.88464081287384,0.0555322617292404,"global_n_retention_1992_compressed",1992
"5","Rock & Ice",0.744731307029724,0.10757028311491,"global_n_retention_1992_compressed",1992
"6","Boreal Forests/Taiga",0.915256261825562,0.0347910262644291,"global_n_retention_1992_compressed",1992
"7","Montane Grasslands & Shrublands",0.770611584186554,0.102181121706963,"global_n_retention_1992_compressed",1992
"8","Lakes",0.837743282318115,0.115082591772079,"global_n_retention_1992_compressed",1992
"9","Flooded Grasslands & Savannas",0.854087233543396,0.0893144831061363,"global_n_retention_1992_compressed",1992
"10","Mediterranean Forests, Woodlands & Scrub",0.803954720497131,0.10344135761261,"global_n_retention_1992_compressed",1992
"11","Tropical & Subtropical Dry Broadleaf Forests",0.84651243686676,0.0922502726316452,"global_n_retention_1992_compressed",1992
"12","Temperate Broadleaf & Mixed Forests",0.854853987693787,0.0954289212822914,"global_n_retention_1992_compressed",1992
"13","Tundra",0.900124371051788,0.0463843606412411,"global_n_retention_1992_compressed",1992
"14","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.846180021762848,0.0805447474122047,"global_n_retention_1992_compressed",1992
"15","Mangroves",0.895715594291687,0.0771335661411285,"global_n_retention_1992_compressed",1992
"16","Deserts & Xeric Shrublands",0.72652542591095,0.116639971733093,"global_n_retention_1992_compressed",1992
"17","Temperate Grasslands, Savannas & Shrublands",0.812106668949127,0.0875368639826775,"global_n_retention_1995_compressed",1995
"18","Tropical & Subtropical Moist Broadleaf Forests",0.892216563224792,0.0678809955716133,"global_n_retention_1995_compressed",1995
"19","Temperate Conifer Forests",0.881921887397766,0.0720890313386917,"global_n_retention_1995_compressed",1995
"20","Tropical & Subtropical Coniferous Forests",0.884332239627838,0.0558783002197742,"global_n_retention_1995_compressed",1995
"21","Rock & Ice",0.74472588300705,0.10756978392601,"global_n_retention_1995_compressed",1995
"22","Boreal Forests/Taiga",0.915241956710815,0.034794058650732,"global_n_retention_1995_compressed",1995
"23","Montane Grasslands & Shrublands",0.770312666893005,0.102238908410072,"global_n_retention_1995_compressed",1995
"24","Lakes",0.823165357112885,0.123343996703625,"global_n_retention_1995_compressed",1995
"25","Flooded Grasslands & Savannas",0.853669285774231,0.0892835929989815,"global_n_retention_1995_compressed",1995
"26","Mediterranean Forests, Woodlands & Scrub",0.80344033241272,0.10343623906374,"global_n_retention_1995_compressed",1995
"27","Tropical & Subtropical Dry Broadleaf Forests",0.845648944377899,0.0922630205750465,"global_n_retention_1995_compressed",1995
"28","Temperate Broadleaf & Mixed Forests",0.854040265083313,0.0957856029272079,"global_n_retention_1995_compressed",1995
"29","Tundra",0.900172770023346,0.0462210513651371,"global_n_retention_1995_compressed",1995
"30","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.845861375331879,0.0806133896112442,"global_n_retention_1995_compressed",1995
"31","Mangroves",0.895271122455597,0.0775397643446922,"global_n_retention_1995_compressed",1995
"32","Deserts & Xeric Shrublands",0.726408958435059,0.116623185575008,"global_n_retention_1995_compressed",1995
"33","Temperate Grasslands, Savannas & Shrublands",0.812074184417725,0.0875521600246429,"global_n_retention_1998_compressed",1998
"34","Tropical & Subtropical Moist Broadleaf Forests",0.891637444496155,0.0683739483356476,"global_n_retention_1998_compressed",1998
"35","Temperate Conifer Forests",0.881783783435822,0.0722643062472343,"global_n_retention_1998_compressed",1998
"36","Tropical & Subtropical Coniferous Forests",0.883982598781586,0.0563730634748936,"global_n_retention_1998_compressed",1998
"37","Rock & Ice",0.744733691215515,0.1075539290905,"global_n_retention_1998_compressed",1998
"38","Boreal Forests/Taiga",0.915231943130493,0.0347878597676754,"global_n_retention_1998_compressed",1998
"39","Montane Grasslands & Shrublands",0.769971609115601,0.102202698588371,"global_n_retention_1998_compressed",1998
"40","Lakes",0.800262749195099,0.131695240736008,"global_n_retention_1998_compressed",1998
"41","Flooded Grasslands & Savannas",0.85320520401001,0.0892143025994301,"global_n_retention_1998_compressed",1998
"42","Mediterranean Forests, Woodlands & Scrub",0.803059101104736,0.103513650596142,"global_n_retention_1998_compressed",1998
"43","Tropical & Subtropical Dry Broadleaf Forests",0.845030546188354,0.092308796942234,"global_n_retention_1998_compressed",1998
"44","Temperate Broadleaf & Mixed Forests",0.853581964969635,0.096005029976368,"global_n_retention_1998_compressed",1998
"45","Tundra",0.900177836418152,0.0461965054273605,"global_n_retention_1998_compressed",1998
"46","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.84549868106842,0.0807405710220337,"global_n_retention_1998_compressed",1998
"47","Mangroves",0.895083546638489,0.0776666104793549,"global_n_retention_1998_compressed",1998
"48","Deserts & Xeric Shrublands",0.72632771730423,0.116608038544655,"global_n_retention_1998_compressed",1998
"49","Temperate Grasslands, Savannas & Shrublands",0.812062799930573,0.0876040756702423,"global_n_retention_2001_compressed",2001
"50","Tropical & Subtropical Moist Broadleaf Forests",0.890854358673096,0.0690568834543228,"global_n_retention_2001_compressed",2001
"51","Temperate Conifer Forests",0.881474852561951,0.0725866332650185,"global_n_retention_2001_compressed",2001
"52","Tropical & Subtropical Coniferous Forests",0.8827805519104,0.0585266016423702,"global_n_retention_2001_compressed",2001
"53","Rock & Ice",0.744292378425598,0.107449188828468,"global_n_retention_2001_compressed",2001
"54","Boreal Forests/Taiga",0.91518771648407,0.0348135009407997,"global_n_retention_2001_compressed",2001
"55","Montane Grasslands & Shrublands",0.769182085990906,0.102231606841087,"global_n_retention_2001_compressed",2001
"56","Lakes",0.790007412433624,0.13425275683403,"global_n_retention_2001_compressed",2001
"57","Flooded Grasslands & Savannas",0.851541042327881,0.0890677720308304,"global_n_retention_2001_compressed",2001
"58","Mediterranean Forests, Woodlands & Scrub",0.801850616931915,0.103693634271622,"global_n_retention_2001_compressed",2001
"59","Tropical & Subtropical Dry Broadleaf Forests",0.844130098819733,0.0923476442694664,"global_n_retention_2001_compressed",2001
"60","Temperate Broadleaf & Mixed Forests",0.852618217468262,0.0965247377753258,"global_n_retention_2001_compressed",2001
"61","Tundra",0.900315403938293,0.0462548732757568,"global_n_retention_2001_compressed",2001
"62","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.844653427600861,0.0809388235211372,"global_n_retention_2001_compressed",2001
"63","Mangroves",0.894725143909454,0.0780880153179169,"global_n_retention_2001_compressed",2001
"64","Deserts & Xeric Shrublands",0.726101458072662,0.116547405719757,"global_n_retention_2001_compressed",2001
"65","Temperate Grasslands, Savannas & Shrublands",0.811870157718658,0.0876459330320358,"global_n_retention_2004_compressed",2004
"66","Tropical & Subtropical Moist Broadleaf Forests",0.890372633934021,0.0694379732012749,"global_n_retention_2004_compressed",2004
"67","Temperate Conifer Forests",0.881358504295349,0.0727606490254402,"global_n_retention_2004_compressed",2004
"68","Tropical & Subtropical Coniferous Forests",0.882568359375,0.0588951222598553,"global_n_retention_2004_compressed",2004
"69","Rock & Ice",0.743855655193329,0.107334762811661,"global_n_retention_2004_compressed",2004
"70","Boreal Forests/Taiga",0.91521942615509,0.0347756445407867,"global_n_retention_2004_compressed",2004
"71","Montane Grasslands & Shrublands",0.768924176692963,0.10220006108284,"global_n_retention_2004_compressed",2004
"72","Lakes",0.76592606306076,0.141046181321144,"global_n_retention_2004_compressed",2004
"73","Flooded Grasslands & Savannas",0.850933432579041,0.0890971645712852,"global_n_retention_2004_compressed",2004
"74","Mediterranean Forests, Woodlands & Scrub",0.801498353481293,0.103751689195633,"global_n_retention_2004_compressed",2004
"75","Tropical & Subtropical Dry Broadleaf Forests",0.843729436397552,0.0924211740493774,"global_n_retention_2004_compressed",2004
"76","Temperate Broadleaf & Mixed Forests",0.852345407009125,0.0968423038721085,"global_n_retention_2004_compressed",2004
"77","Tundra",0.900357007980347,0.0461900793015957,"global_n_retention_2004_compressed",2004
"78","Tropical & Subtropical Grasslands, Savannas & Shrublands",0.844489872455597,0.0810095518827438,"global_n_retention_2004_compressed",2004
"79","Mangroves",0.894395887851715,0.0784534141421318,"global_n_retention_2004_compressed",2004
"80","Deserts & Xeric Shrublands",0.72605949640274,0.116498731076717,"global_n_retention_2004_compressed",2004
