"","subregion","mean","raster_name","color","year"
"1","Seven seas (open ocean)",NA,"Pot_Sed_ret_1992","#08606b","diff"
"2","Antarctica",NA,"Pot_Sed_ret_1992","#08606b","diff"
"3","Northern Africa",0.892262101173401,"Pot_Sed_ret_1992","#08606b","diff"
"4","Central Asia",0.911313414573669,"Pot_Sed_ret_1992","#08606b","diff"
"5","Eastern Asia",0.903820514678955,"Pot_Sed_ret_1992","#08606b","diff"
"6","Melanesia",0.971966862678528,"Pot_Sed_ret_1992","#08606b","diff"
"7","Middle Africa",0.967337906360626,"Pot_Sed_ret_1992","#08606b","diff"
"8","South-Eastern Asia",0.943601369857788,"Pot_Sed_ret_1992","#08606b","diff"
"9","Southern Europe",0.906665146350861,"Pot_Sed_ret_1992","#08606b","diff"
"10","Western Africa",0.928966879844666,"Pot_Sed_ret_1992","#08606b","diff"
"11","Eastern Europe",0.953468978404999,"Pot_Sed_ret_1992","#08606b","diff"
"12","Southern Asia",0.891213357448578,"Pot_Sed_ret_1992","#08606b","diff"
"13","Southern Africa",0.935540318489075,"Pot_Sed_ret_1992","#08606b","diff"
"14","Caribbean",0.948335826396942,"Pot_Sed_ret_1992","#08606b","diff"
"15","Northern Europe",0.9455686211586,"Pot_Sed_ret_1992","#08606b","diff"
"16","Polynesia",NA,"Pot_Sed_ret_1992","#08606b","diff"
"17","Micronesia",NA,"Pot_Sed_ret_1992","#08606b","diff"
"18","Australia and New Zealand",0.933388590812683,"Pot_Sed_ret_1992","#08606b","diff"
"19","Eastern Africa",0.944078385829926,"Pot_Sed_ret_1992","#08606b","diff"
"20","Northern America",0.955491662025452,"Pot_Sed_ret_1992","#08606b","diff"
"21","Central America",0.944107115268707,"Pot_Sed_ret_1992","#08606b","diff"
"22","Western Asia",0.86306643486023,"Pot_Sed_ret_1992","#08606b","diff"
"23","Western Europe",0.929052472114563,"Pot_Sed_ret_1992","#08606b","diff"
"24","South America",0.951079487800598,"Pot_Sed_ret_1992","#08606b","diff"
"25","Seven seas (open ocean)",NA,"Pot_Sed_ret_2020","#08606b","diff"
"26","Antarctica",NA,"Pot_Sed_ret_2020","#08606b","diff"
"27","Northern Africa",0.892344415187836,"Pot_Sed_ret_2020","#08606b","diff"
"28","Central Asia",0.912337839603424,"Pot_Sed_ret_2020","#08606b","diff"
"29","Eastern Asia",0.903639793395996,"Pot_Sed_ret_2020","#08606b","diff"
"30","Melanesia",0.969858169555664,"Pot_Sed_ret_2020","#08606b","diff"
"31","Middle Africa",0.966779410839081,"Pot_Sed_ret_2020","#08606b","diff"
"32","South-Eastern Asia",0.941626250743866,"Pot_Sed_ret_2020","#08606b","diff"
"33","Southern Europe",0.906385064125061,"Pot_Sed_ret_2020","#08606b","diff"
"34","Western Africa",0.928569138050079,"Pot_Sed_ret_2020","#08606b","diff"
"35","Eastern Europe",0.953323006629944,"Pot_Sed_ret_2020","#08606b","diff"
"36","Southern Asia",0.891820788383484,"Pot_Sed_ret_2020","#08606b","diff"
"37","Southern Africa",0.935049057006836,"Pot_Sed_ret_2020","#08606b","diff"
"38","Caribbean",0.949232399463654,"Pot_Sed_ret_2020","#08606b","diff"
"39","Northern Europe",0.944412648677826,"Pot_Sed_ret_2020","#08606b","diff"
"40","Polynesia",NA,"Pot_Sed_ret_2020","#08606b","diff"
"41","Micronesia",NA,"Pot_Sed_ret_2020","#08606b","diff"
"42","Australia and New Zealand",0.933942794799805,"Pot_Sed_ret_2020","#08606b","diff"
"43","Eastern Africa",0.944125711917877,"Pot_Sed_ret_2020","#08606b","diff"
"44","Northern America",0.954801261425018,"Pot_Sed_ret_2020","#08606b","diff"
"45","Central America",0.943138360977173,"Pot_Sed_ret_2020","#08606b","diff"
"46","Western Asia",0.864260852336884,"Pot_Sed_ret_2020","#08606b","diff"
"47","Western Europe",0.928501188755035,"Pot_Sed_ret_2020","#08606b","diff"
"48","South America",0.949708878993988,"Pot_Sed_ret_2020","#08606b","diff"
"49","Seven seas (open ocean)",NA,"Pot_Sed_ret_diff","#68606b","diff"
"50","Antarctica",NA,"Pot_Sed_ret_diff","#68606b","diff"
"51","Northern Africa",-7.53195345168933e-05,"Pot_Sed_ret_diff","#68606b","diff"
"52","Central Asia",-0.00101632880978286,"Pot_Sed_ret_diff","#68606b","diff"
"53","Eastern Asia",0.000184339209226891,"Pot_Sed_ret_diff","#68606b","diff"
"54","Melanesia",0.00210806098766625,"Pot_Sed_ret_diff","#68606b","diff"
"55","Middle Africa",0.000560321903321892,"Pot_Sed_ret_diff","#68606b","diff"
"56","South-Eastern Asia",0.00197010394185781,"Pot_Sed_ret_diff","#68606b","diff"
"57","Southern Europe",0.000285850604996085,"Pot_Sed_ret_diff","#68606b","diff"
"58","Western Africa",0.0003920704475604,"Pot_Sed_ret_diff","#68606b","diff"
"59","Eastern Europe",0.000143200886668637,"Pot_Sed_ret_diff","#68606b","diff"
"60","Southern Asia",-0.000608877919148654,"Pot_Sed_ret_diff","#68606b","diff"
"61","Southern Africa",0.000491060898639262,"Pot_Sed_ret_diff","#68606b","diff"
"62","Caribbean",-0.000864080502651632,"Pot_Sed_ret_diff","#68606b","diff"
"63","Northern Europe",0.00115240307059139,"Pot_Sed_ret_diff","#68606b","diff"
"64","Polynesia",NA,"Pot_Sed_ret_diff","#68606b","diff"
"65","Micronesia",NA,"Pot_Sed_ret_diff","#68606b","diff"
"66","Australia and New Zealand",-0.000551406119484454,"Pot_Sed_ret_diff","#68606b","diff"
"67","Eastern Africa",-4.48047649115324e-05,"Pot_Sed_ret_diff","#68606b","diff"
"68","Northern America",0.000670294044539332,"Pot_Sed_ret_diff","#68606b","diff"
"69","Central America",0.000970899884123355,"Pot_Sed_ret_diff","#68606b","diff"
"70","Western Asia",-0.00115713686682284,"Pot_Sed_ret_diff","#68606b","diff"
"71","Western Europe",0.000544046459253877,"Pot_Sed_ret_diff","#68606b","diff"
"72","South America",0.00134061090648174,"Pot_Sed_ret_diff","#68606b","diff"
