"","extent","median","service","color","metric","value"
"1","Latin America & Caribbean",1.84552149991108,"Coastal Protection","#9e9ac8","year_1992",1.83577966690063
"2","Latin America & Caribbean",1.84552149991108,"Coastal Protection","#9e9ac8","year_2020",NA
"3","Latin America & Caribbean",1.84552149991108,"Coastal Protection","#9e9ac8","pct_change",NA
"4","South Asia",1.51498505568813,"Coastal Protection","#9e9ac8","year_1992",1.61877918243408
"5","South Asia",1.51498505568813,"Coastal Protection","#9e9ac8","year_2020",NA
"6","South Asia",1.51498505568813,"Coastal Protection","#9e9ac8","pct_change",NA
"7","Sub-Saharan Africa",1.42198281257799,"Coastal Protection","#9e9ac8","year_1992",1.45378518104553
"8","Sub-Saharan Africa",1.42198281257799,"Coastal Protection","#9e9ac8","year_2020",NA
"9","Sub-Saharan Africa",1.42198281257799,"Coastal Protection","#9e9ac8","pct_change",NA
"10","Europe & Central Asia",0.869459400020526,"Coastal Protection","#9e9ac8","year_1992",1.15816593170166
"11","Europe & Central Asia",0.869459400020526,"Coastal Protection","#9e9ac8","year_2020",NA
"12","Europe & Central Asia",0.869459400020526,"Coastal Protection","#9e9ac8","pct_change",NA
"13","Middle East & North Africa",1.4586875515443,"Coastal Protection","#9e9ac8","year_1992",1.46394979953766
"14","Middle East & North Africa",1.4586875515443,"Coastal Protection","#9e9ac8","year_2020",NA
"15","Middle East & North Africa",1.4586875515443,"Coastal Protection","#9e9ac8","pct_change",NA
"16","East Asia & Pacific",1.42159882752048,"Coastal Protection","#9e9ac8","year_1992",1.57091438770294
"17","East Asia & Pacific",1.42159882752048,"Coastal Protection","#9e9ac8","year_2020",NA
"18","East Asia & Pacific",1.42159882752048,"Coastal Protection","#9e9ac8","pct_change",NA
"19","Antarctica",0.17320098120331,"Coastal Protection","#9e9ac8","year_1992",0.143120557069778
"20","Antarctica",0.17320098120331,"Coastal Protection","#9e9ac8","year_2020",0.143120557069778
"21","Antarctica",0.17320098120331,"Coastal Protection","#9e9ac8","pct_change",0
"22","North America",1.41968041043999,"Coastal Protection","#9e9ac8","year_1992",1.44610583782196
"23","North America",1.41968041043999,"Coastal Protection","#9e9ac8","year_2020",NA
"24","North America",1.41968041043999,"Coastal Protection","#9e9ac8","pct_change",NA
"25","Latin America & Caribbean",1.81870355647597,"Coastal Protection","#9e9ac8","year_1992",NA
"26","Latin America & Caribbean",1.81870355647597,"Coastal Protection","#9e9ac8","year_2020",1.81227719783783
"27","Latin America & Caribbean",1.81870355647597,"Coastal Protection","#9e9ac8","pct_change",NA
"28","South Asia",1.51553865994087,"Coastal Protection","#9e9ac8","year_1992",NA
"29","South Asia",1.51553865994087,"Coastal Protection","#9e9ac8","year_2020",1.622065782547
"30","South Asia",1.51553865994087,"Coastal Protection","#9e9ac8","pct_change",NA
"31","Sub-Saharan Africa",1.42705394856663,"Coastal Protection","#9e9ac8","year_1992",NA
"32","Sub-Saharan Africa",1.42705394856663,"Coastal Protection","#9e9ac8","year_2020",1.46130335330963
"33","Sub-Saharan Africa",1.42705394856663,"Coastal Protection","#9e9ac8","pct_change",NA
"34","Europe & Central Asia",0.863453229593199,"Coastal Protection","#9e9ac8","year_1992",NA
"35","Europe & Central Asia",0.863453229593199,"Coastal Protection","#9e9ac8","year_2020",1.15006339550018
"36","Europe & Central Asia",0.863453229593199,"Coastal Protection","#9e9ac8","pct_change",NA
"37","Middle East & North Africa",1.50483995484136,"Coastal Protection","#9e9ac8","year_1992",NA
"38","Middle East & North Africa",1.50483995484136,"Coastal Protection","#9e9ac8","year_2020",1.49280178546906
"39","Middle East & North Africa",1.50483995484136,"Coastal Protection","#9e9ac8","pct_change",NA
"40","East Asia & Pacific",1.41193484676538,"Coastal Protection","#9e9ac8","year_1992",NA
"41","East Asia & Pacific",1.41193484676538,"Coastal Protection","#9e9ac8","year_2020",1.56603741645813
"42","East Asia & Pacific",1.41193484676538,"Coastal Protection","#9e9ac8","pct_change",NA
"43","North America",1.41638275198424,"Coastal Protection","#9e9ac8","year_1992",NA
"44","North America",1.41638275198424,"Coastal Protection","#9e9ac8","year_2020",1.44174456596375
"45","North America",1.41638275198424,"Coastal Protection","#9e9ac8","pct_change",NA
"46","Latin America & Caribbean",4.45983548033967,"Nitrogen Export","#2c944c","year_1992",13.1957769393921
"47","Latin America & Caribbean",4.45983548033967,"Nitrogen Export","#2c944c","year_2020",NA
"48","Latin America & Caribbean",4.45983548033967,"Nitrogen Export","#2c944c","pct_change",NA
"49","South Asia",20.5434133530316,"Nitrogen Export","#2c944c","year_1992",57.6978607177734
"50","South Asia",20.5434133530316,"Nitrogen Export","#2c944c","year_2020",NA
"51","South Asia",20.5434133530316,"Nitrogen Export","#2c944c","pct_change",NA
"52","Sub-Saharan Africa",6.31702405988402,"Nitrogen Export","#2c944c","year_1992",9.83073806762695
"53","Sub-Saharan Africa",6.31702405988402,"Nitrogen Export","#2c944c","year_2020",NA
"54","Sub-Saharan Africa",6.31702405988402,"Nitrogen Export","#2c944c","pct_change",NA
"55","Europe & Central Asia",4.58880829993605,"Nitrogen Export","#2c944c","year_1992",23.076488494873
"56","Europe & Central Asia",4.58880829993605,"Nitrogen Export","#2c944c","year_2020",NA
"57","Europe & Central Asia",4.58880829993605,"Nitrogen Export","#2c944c","pct_change",NA
"58","Middle East & North Africa",9.12113537610536,"Nitrogen Export","#2c944c","year_1992",43.8323097229004
"59","Middle East & North Africa",9.12113537610536,"Nitrogen Export","#2c944c","year_2020",NA
"60","Middle East & North Africa",9.12113537610536,"Nitrogen Export","#2c944c","pct_change",NA
"61","East Asia & Pacific",8.31611608433803,"Nitrogen Export","#2c944c","year_1992",39.0736999511719
"62","East Asia & Pacific",8.31611608433803,"Nitrogen Export","#2c944c","year_2020",NA
"63","East Asia & Pacific",8.31611608433803,"Nitrogen Export","#2c944c","pct_change",NA
"64","Antarctica",NA,"Nitrogen Export","#2c944c","year_1992",NA
"65","Antarctica",NA,"Nitrogen Export","#2c944c","year_2020",NA
"66","Antarctica",NA,"Nitrogen Export","#2c944c","pct_change",NA
"67","North America",3.50362895811202,"Nitrogen Export","#2c944c","year_1992",18.4919815063477
"68","North America",3.50362895811202,"Nitrogen Export","#2c944c","year_2020",NA
"69","North America",3.50362895811202,"Nitrogen Export","#2c944c","pct_change",NA
"70","Latin America & Caribbean",4.62053650007068,"Nitrogen Export","#2c944c","year_1992",NA
"71","Latin America & Caribbean",4.62053650007068,"Nitrogen Export","#2c944c","year_2020",13.5702037811279
"72","Latin America & Caribbean",4.62053650007068,"Nitrogen Export","#2c944c","pct_change",NA
"73","South Asia",20.3093256172151,"Nitrogen Export","#2c944c","year_1992",NA
"74","South Asia",20.3093256172151,"Nitrogen Export","#2c944c","year_2020",57.6321678161621
"75","South Asia",20.3093256172151,"Nitrogen Export","#2c944c","pct_change",NA
"76","Sub-Saharan Africa",6.25035302810366,"Nitrogen Export","#2c944c","year_1992",NA
"77","Sub-Saharan Africa",6.25035302810366,"Nitrogen Export","#2c944c","year_2020",9.99215698242188
"78","Sub-Saharan Africa",6.25035302810366,"Nitrogen Export","#2c944c","pct_change",NA
"79","Europe & Central Asia",4.61969801993681,"Nitrogen Export","#2c944c","year_1992",NA
"80","Europe & Central Asia",4.61969801993681,"Nitrogen Export","#2c944c","year_2020",23.0495910644531
"81","Europe & Central Asia",4.61969801993681,"Nitrogen Export","#2c944c","pct_change",NA
"82","Middle East & North Africa",9.75438113075921,"Nitrogen Export","#2c944c","year_1992",NA
"83","Middle East & North Africa",9.75438113075921,"Nitrogen Export","#2c944c","year_2020",46.4671630859375
"84","Middle East & North Africa",9.75438113075921,"Nitrogen Export","#2c944c","pct_change",NA
"85","East Asia & Pacific",8.55090264676267,"Nitrogen Export","#2c944c","year_1992",NA
"86","East Asia & Pacific",8.55090264676267,"Nitrogen Export","#2c944c","year_2020",40.0975303649902
"87","East Asia & Pacific",8.55090264676267,"Nitrogen Export","#2c944c","pct_change",NA
"88","North America",3.51802049774102,"Nitrogen Export","#2c944c","year_1992",NA
"89","North America",3.51802049774102,"Nitrogen Export","#2c944c","year_2020",18.6529846191406
"90","North America",3.51802049774102,"Nitrogen Export","#2c944c","pct_change",NA
"91","Latin America & Caribbean",0.245026698938794,"Sediment Export","#08306b","year_1992",55.2080535888672
"92","Latin America & Caribbean",0.245026698938794,"Sediment Export","#08306b","year_2020",NA
"93","Latin America & Caribbean",0.245026698938794,"Sediment Export","#08306b","pct_change",NA
"94","South Asia",6.89503994472843,"Sediment Export","#08306b","year_1992",109.558799743652
"95","South Asia",6.89503994472843,"Sediment Export","#08306b","year_2020",NA
"96","South Asia",6.89503994472843,"Sediment Export","#08306b","pct_change",NA
"97","Sub-Saharan Africa",0.374363086597009,"Sediment Export","#08306b","year_1992",42.1636543273926
"98","Sub-Saharan Africa",0.374363086597009,"Sediment Export","#08306b","year_2020",NA
"99","Sub-Saharan Africa",0.374363086597009,"Sediment Export","#08306b","pct_change",NA
"100","Europe & Central Asia",0.101712190749144,"Sediment Export","#08306b","year_1992",23.4069271087646
"101","Europe & Central Asia",0.101712190749144,"Sediment Export","#08306b","year_2020",NA
"102","Europe & Central Asia",0.101712190749144,"Sediment Export","#08306b","pct_change",NA
"103","Middle East & North Africa",3.9908122864616,"Sediment Export","#08306b","year_1992",98.3349380493164
"104","Middle East & North Africa",3.9908122864616,"Sediment Export","#08306b","year_2020",NA
"105","Middle East & North Africa",3.9908122864616,"Sediment Export","#08306b","pct_change",NA
"106","East Asia & Pacific",1.23583319669263,"Sediment Export","#08306b","year_1992",90.9840316772461
"107","East Asia & Pacific",1.23583319669263,"Sediment Export","#08306b","year_2020",NA
"108","East Asia & Pacific",1.23583319669263,"Sediment Export","#08306b","pct_change",NA
"109","Antarctica",NA,"Sediment Export","#08306b","year_1992",NA
"110","Antarctica",NA,"Sediment Export","#08306b","year_2020",NA
"111","Antarctica",NA,"Sediment Export","#08306b","pct_change",NA
"112","North America",0.0694524366504221,"Sediment Export","#08306b","year_1992",11.9324264526367
"113","North America",0.0694524366504221,"Sediment Export","#08306b","year_2020",NA
"114","North America",0.0694524366504221,"Sediment Export","#08306b","pct_change",NA
"115","Latin America & Caribbean",0.340035859986887,"Sediment Export","#08306b","year_1992",NA
"116","Latin America & Caribbean",0.340035859986887,"Sediment Export","#08306b","year_2020",54.4639663696289
"117","Latin America & Caribbean",0.340035859986887,"Sediment Export","#08306b","pct_change",NA
"118","South Asia",6.63626920869329,"Sediment Export","#08306b","year_1992",NA
"119","South Asia",6.63626920869329,"Sediment Export","#08306b","year_2020",106.311317443848
"120","South Asia",6.63626920869329,"Sediment Export","#08306b","pct_change",NA
"121","Sub-Saharan Africa",0.37420697776675,"Sediment Export","#08306b","year_1992",NA
"122","Sub-Saharan Africa",0.37420697776675,"Sediment Export","#08306b","year_2020",42.760368347168
"123","Sub-Saharan Africa",0.37420697776675,"Sediment Export","#08306b","pct_change",NA
"124","Europe & Central Asia",0.103027061291795,"Sediment Export","#08306b","year_1992",NA
"125","Europe & Central Asia",0.103027061291795,"Sediment Export","#08306b","year_2020",23.6326961517334
"126","Europe & Central Asia",0.103027061291795,"Sediment Export","#08306b","pct_change",NA
"127","Middle East & North Africa",3.96817128827546,"Sediment Export","#08306b","year_1992",NA
"128","Middle East & North Africa",3.96817128827546,"Sediment Export","#08306b","year_2020",98.3504028320312
"129","Middle East & North Africa",3.96817128827546,"Sediment Export","#08306b","pct_change",NA
"130","East Asia & Pacific",1.24834979990207,"Sediment Export","#08306b","year_1992",NA
"131","East Asia & Pacific",1.24834979990207,"Sediment Export","#08306b","year_2020",94.641227722168
"132","East Asia & Pacific",1.24834979990207,"Sediment Export","#08306b","pct_change",NA
"133","North America",0.0772621761393036,"Sediment Export","#08306b","year_1992",NA
"134","North America",0.0772621761393036,"Sediment Export","#08306b","year_2020",12.3740940093994
"135","North America",0.0772621761393036,"Sediment Export","#08306b","pct_change",NA
"136","Latin America & Caribbean",104.05111487199,"Nature Access","#A57C00","year_1992",NA
"137","Latin America & Caribbean",104.05111487199,"Nature Access","#A57C00","year_2020",53755.1640625
"138","Latin America & Caribbean",104.05111487199,"Nature Access","#A57C00","pct_change",NA
"139","South Asia",2580.0496862048,"Nature Access","#A57C00","year_1992",NA
"140","South Asia",2580.0496862048,"Nature Access","#A57C00","year_2020",162714.71875
"141","South Asia",2580.0496862048,"Nature Access","#A57C00","pct_change",NA
"142","Sub-Saharan Africa",300.767844452131,"Nature Access","#A57C00","year_1992",NA
"143","Sub-Saharan Africa",300.767844452131,"Nature Access","#A57C00","year_2020",33430.671875
"144","Sub-Saharan Africa",300.767844452131,"Nature Access","#A57C00","pct_change",NA
"145","Europe & Central Asia",333.628047229141,"Nature Access","#A57C00","year_1992",NA
"146","Europe & Central Asia",333.628047229141,"Nature Access","#A57C00","year_2020",157268.234375
"147","Europe & Central Asia",333.628047229141,"Nature Access","#A57C00","pct_change",NA
"148","Middle East & North Africa",845.806066792593,"Nature Access","#A57C00","year_1992",NA
"149","Middle East & North Africa",845.806066792593,"Nature Access","#A57C00","year_2020",121501.1796875
"150","Middle East & North Africa",845.806066792593,"Nature Access","#A57C00","pct_change",NA
"151","East Asia & Pacific",62.3593483201616,"Nature Access","#A57C00","year_1992",NA
"152","East Asia & Pacific",62.3593483201616,"Nature Access","#A57C00","year_2020",87335.765625
"153","East Asia & Pacific",62.3593483201616,"Nature Access","#A57C00","pct_change",NA
"154","Antarctica",NA,"Nature Access","#A57C00","year_1992",NA
"155","Antarctica",NA,"Nature Access","#A57C00","year_2020",NA
"156","Antarctica",NA,"Nature Access","#A57C00","pct_change",NA
"157","North America",4604.65720098563,"Nature Access","#A57C00","year_1992",NA
"158","North America",4604.65720098563,"Nature Access","#A57C00","year_2020",173902.484375
"159","North America",4604.65720098563,"Nature Access","#A57C00","pct_change",NA
"160","Latin America & Caribbean",0.789941470621123,"Nature Access","#A57C00","year_1992",27497.078125
"161","Latin America & Caribbean",0.789941470621123,"Nature Access","#A57C00","year_2020",NA
"162","Latin America & Caribbean",0.789941470621123,"Nature Access","#A57C00","pct_change",NA
"163","South Asia",2.8947694413898e-05,"Nature Access","#A57C00","year_1992",42801.32421875
"164","South Asia",2.8947694413898e-05,"Nature Access","#A57C00","year_2020",NA
"165","South Asia",2.8947694413898e-05,"Nature Access","#A57C00","pct_change",NA
"166","Sub-Saharan Africa",7.22004720427031,"Nature Access","#A57C00","year_1992",16688.337890625
"167","Sub-Saharan Africa",7.22004720427031,"Nature Access","#A57C00","year_2020",NA
"168","Sub-Saharan Africa",7.22004720427031,"Nature Access","#A57C00","pct_change",NA
"169","Europe & Central Asia",1.88448296805579e-06,"Nature Access","#A57C00","year_1992",44516.33984375
"170","Europe & Central Asia",1.88448296805579e-06,"Nature Access","#A57C00","year_2020",NA
"171","Europe & Central Asia",1.88448296805579e-06,"Nature Access","#A57C00","pct_change",NA
"172","Middle East & North Africa",1.05817163956678e-05,"Nature Access","#A57C00","year_1992",7710.42822265625
"173","Middle East & North Africa",1.05817163956678e-05,"Nature Access","#A57C00","year_2020",NA
"174","Middle East & North Africa",1.05817163956678e-05,"Nature Access","#A57C00","pct_change",NA
"175","East Asia & Pacific",4.97758203743609e-06,"Nature Access","#A57C00","year_1992",27267.849609375
"176","East Asia & Pacific",4.97758203743609e-06,"Nature Access","#A57C00","year_2020",NA
"177","East Asia & Pacific",4.97758203743609e-06,"Nature Access","#A57C00","pct_change",NA
"178","Antarctica",0,"Nature Access","#A57C00","year_1992",0
"179","Antarctica",0,"Nature Access","#A57C00","year_2020",NA
"180","Antarctica",0,"Nature Access","#A57C00","pct_change",NA
"181","North America",2.37595257849653e-06,"Nature Access","#A57C00","year_1992",53572.046875
"182","North America",2.37595257849653e-06,"Nature Access","#A57C00","year_2020",NA
"183","North America",2.37595257849653e-06,"Nature Access","#A57C00","pct_change",NA
"184","Latin America & Caribbean",6.23058762320567e-09,"Pollination","#dd1c77","year_1992",0.182686686515808
"185","Latin America & Caribbean",6.23058762320567e-09,"Pollination","#dd1c77","year_2020",NA
"186","Latin America & Caribbean",6.23058762320567e-09,"Pollination","#dd1c77","pct_change",NA
"187","South Asia",1.22316296230103e-07,"Pollination","#dd1c77","year_1992",0.273087382316589
"188","South Asia",1.22316296230103e-07,"Pollination","#dd1c77","year_2020",NA
"189","South Asia",1.22316296230103e-07,"Pollination","#dd1c77","pct_change",NA
"190","Sub-Saharan Africa",7.12798122953669e-09,"Pollination","#dd1c77","year_1992",0.0272350199520588
"191","Sub-Saharan Africa",7.12798122953669e-09,"Pollination","#dd1c77","year_2020",NA
"192","Sub-Saharan Africa",7.12798122953669e-09,"Pollination","#dd1c77","pct_change",NA
"193","Europe & Central Asia",8.50457129226543e-08,"Pollination","#dd1c77","year_1992",0.162110015749931
"194","Europe & Central Asia",8.50457129226543e-08,"Pollination","#dd1c77","year_2020",NA
"195","Europe & Central Asia",8.50457129226543e-08,"Pollination","#dd1c77","pct_change",NA
"196","Middle East & North Africa",7.29241531070729e-09,"Pollination","#dd1c77","year_1992",0.126746460795403
"197","Middle East & North Africa",7.29241531070729e-09,"Pollination","#dd1c77","year_2020",NA
"198","Middle East & North Africa",7.29241531070729e-09,"Pollination","#dd1c77","pct_change",NA
"199","East Asia & Pacific",9.35800314738755e-09,"Pollination","#dd1c77","year_1992",0.427974164485931
"200","East Asia & Pacific",9.35800314738755e-09,"Pollination","#dd1c77","year_2020",NA
"201","East Asia & Pacific",9.35800314738755e-09,"Pollination","#dd1c77","pct_change",NA
"202","Antarctica",0,"Pollination","#dd1c77","year_1992",0
"203","Antarctica",0,"Pollination","#dd1c77","year_2020",0
"204","Antarctica",0,"Pollination","#dd1c77","pct_change",NA
"205","North America",1.68329265050034e-07,"Pollination","#dd1c77","year_1992",0.108749009668827
"206","North America",1.68329265050034e-07,"Pollination","#dd1c77","year_2020",NA
"207","North America",1.68329265050034e-07,"Pollination","#dd1c77","pct_change",NA
"208","Latin America & Caribbean",6.16602999250292e-09,"Pollination","#dd1c77","year_1992",NA
"209","Latin America & Caribbean",6.16602999250292e-09,"Pollination","#dd1c77","year_2020",0.189385995268822
"210","Latin America & Caribbean",6.16602999250292e-09,"Pollination","#dd1c77","pct_change",NA
"211","South Asia",1.22777521402839e-07,"Pollination","#dd1c77","year_1992",NA
"212","South Asia",1.22777521402839e-07,"Pollination","#dd1c77","year_2020",0.28164154291153
"213","South Asia",1.22777521402839e-07,"Pollination","#dd1c77","pct_change",NA
"214","Sub-Saharan Africa",7.13105524010536e-09,"Pollination","#dd1c77","year_1992",NA
"215","Sub-Saharan Africa",7.13105524010536e-09,"Pollination","#dd1c77","year_2020",0.0311615150421858
"216","Sub-Saharan Africa",7.13105524010536e-09,"Pollination","#dd1c77","pct_change",NA
"217","Europe & Central Asia",8.51774911419263e-08,"Pollination","#dd1c77","year_1992",NA
"218","Europe & Central Asia",8.51774911419263e-08,"Pollination","#dd1c77","year_2020",0.169444620609283
"219","Europe & Central Asia",8.51774911419263e-08,"Pollination","#dd1c77","pct_change",NA
"220","Middle East & North Africa",7.31337298498383e-09,"Pollination","#dd1c77","year_1992",NA
"221","Middle East & North Africa",7.31337298498383e-09,"Pollination","#dd1c77","year_2020",0.154879435896873
"222","Middle East & North Africa",7.31337298498383e-09,"Pollination","#dd1c77","pct_change",NA
"223","East Asia & Pacific",9.34531588955598e-09,"Pollination","#dd1c77","year_1992",NA
"224","East Asia & Pacific",9.34531588955598e-09,"Pollination","#dd1c77","year_2020",0.466975808143616
"225","East Asia & Pacific",9.34531588955598e-09,"Pollination","#dd1c77","pct_change",NA
"226","North America",1.43946155906805e-07,"Pollination","#dd1c77","year_1992",NA
"227","North America",1.43946155906805e-07,"Pollination","#dd1c77","year_2020",0.115028686821461
"228","North America",1.43946155906805e-07,"Pollination","#dd1c77","pct_change",NA
